Dagger,common,A Steel dagger with a black leather wrapped handle,0
Dagger,common,A steel dagger with a brown leather wrapped handle,0
Dagger,common,A steel dagger with a polished oak handle,0
Dagger,common,A steel dagger with a polished black wood handle,0
Dagger,common,A steel dagger with a hemp wrapped handle,0
Dagger,common,A steel dagger with no handle,0
Dagger,common,A bronze dagger with a hemp wrapped handle,0
Dagger,common,A bronze dagger with a black leather wrapped handle,0
Dagger,common,A bronze dagger with a brown leather wrapped handle,0
Dagger,common,A bronze dagger with a polished oak handle,0
Dagger,common,A bronze dagger with a polished black wood handle,0
Dagger,common,A bronze dagger with no handle,0
Dagger,Common,"A dagger that magically glints in the light, its only magical property is that it is much harder to break or blunt",1
Dagger,common,A wooden training dagger,0
Sword,common,A wooden training short sword,0
Sword,common,A wooden training long sword,0
Sword,Common,"A sword that magically glints in the light, its only magical property is that it is much harder to break or blunt",1
Coins,common,3d6 cp,0
Coins,common,2d6 sp,0
Coin,commmon,1 gp,0
Armor of Gleaming,Common,Xge 136,1
Bead of Nourishment,Common,Xge 136,1
Bead of Refreshment,Common,Xge 136,1
Boots of False Tracks,Common,Xge 136,1
Candle of the Deep,Common,Xge 136,1
Cast off Armor,Common,You can doff this armor as a action,1
Charlatans Die,common,Xge 136,1
Cloak of Billowing,Common,Xge 136,1
Cloak of Many Fashions,Common,Xge 136,1
Clockwork Amulet,Common,Xge 137,1
Clothes of Mending,Common,Xge 137,1
Dark Shard Amulet,Common,Xge 137,1
Dread Helm,Common,Xge 137,1
Ear Horn of Hearing,Common,Xge 137,1
Enduring Spellbook,Common,Xge 137,1
Ersatz Eye,Common,Xge 137,1
Hat of Vermin,Common,Xge 137,1
Hat of Wizardry,Common,Xge 137,1
Hewards Handy Spice Pouch,Common,Xge 137,1
Horn of Silent Alarm,Common,Xge 137,1
Instrument of Illusions,Common,Xge 137,1
Instrument of Scribing,Common,Xge 138,1
Lock of Trickery,Common,Xge 138,1
Moon Touched Sword,Common,Xge 138,1
Mystery Key,Common,Xge 138,1
Orb of Direction,Common,Xge 138,1
Orb of Time,Common,Xge 138,1
Perfume of Bewitching,Common,Xge 138,1
Pipe of Smoke Monsters,Common,Xge 138,1
Pole of Angling,Common,Xge 138,1
Pole of Collapsing,Common,Xge 138,1
Pot of Awakening,Common,Xge 138,1
Rope of Mending,Common,Xge 138,1
Ruby of the War Mage,Common,Xge 138,1
Shield of Expression,Common,Xge 139,1
Smoldering Armor,Common,Xge 139,1
Staff of Adornment,Common,Xge 139,1
Staff of Birdcalls,Common,Xge 139,1
Staff of Flowers,Common,Xge 139,1
Talking Doll,Common,Xge 139,1
Tankard of Sobriety,Common,Xge 139,1
Unbreakable Arrow,Common,Xge 139,1
Veterans Cane,Common,Xge 139,1
Walloping Ammunition,Common,Xge 139,1
Wand of Conducting,Common,Xge 140,1
Wand of Pyrotechnics,Common,Xge 140,1
Wand of Scowls,Common,Xge 140,1
Wand of Smiles,Common,Xge 140,1
Potion of Climbing,common,Dmg 187,1
Potion of Healing,common,Dmg 188,1
Spell Scroll cantrip,common,Dmg 200,1
Spell Scroll 1st,common,Dmg 200,1
Prosthetic Limb,common,Tce 134,1
